利用日,顧客番号,用途,利用金額
2021-01-01,20996,飲食店,45796
2021-01-01,22436,通信販売,51076
2021-01-01,22897,百貨店,50625
2021-01-01,20624,航空会社,25600
2021-01-01,28341,旅行代理店,1849
2021-01-01,24614,ETC,56644
2021-01-01,24614,宿泊施設,1849
2021-01-01,25488,ETC,4489
2021-01-01,24413,ETC,71289
2021-01-01,24413,宿泊施設,10000
2021-01-01,26651,宿泊施設,3969
2021-01-01,22203,航空会社,50625
2021-01-01,23694,航空会社,40804
2021-01-01,21179,宿泊施設,2209
2021-01-01,21202,飲食店,64009
2021-01-01,21202,百貨店,3600
2021-01-01,20683,航空会社,1089
2021-01-01,27100,ETC,97344
2021-01-01,25109,航空会社,47089
2021-01-01,25333,宿泊施設,49729
2021-01-01,20949,航空会社,99856
2021-01-01,26496,航空会社,26244
2021-01-01,25370,飲食店,61504
2021-01-01,25370,百貨店,55696
2021-01-01,22424,飲食店,19044
2021-01-01,24641,宿泊施設,80656
2021-01-01,27704,航空会社,65536
2021-01-01,28447,通信販売,44100
2021-01-01,23614,飲食店,69696
2021-01-01,23614,百貨店,66564
2021-01-01,21444,ETC,58564
2021-01-01,21444,宿泊施設,75625
2021-01-01,28422,ETC,70756
2021-01-01,27453,旅行代理店,28900
2021-01-01,28422,百貨店,1936
2021-01-01,28630,通信販売,48400
2021-01-01,26174,宿泊施設,82944
2021-01-01,28894,通信販売,4624
2021-01-01,25933,航空会社,35721
2021-01-01,24258,ETC,7225
2021-01-01,26300,ETC,44100
2021-01-01,26300,宿泊施設,91204
2021-01-02,27980,ETC,17161
2021-01-02,23893,宿泊施設,61504
2021-01-02,28847,百貨店,15129
2021-01-02,28231,宿泊施設,67600
2021-01-02,27617,宿泊施設,7396
2021-01-02,22308,百貨店,62001
2021-01-02,27084,航空会社,21025
2021-01-02,28903,ETC,11449
2021-01-02,28405,航空会社,39204
2021-01-02,26756,宿泊施設,15129
2021-01-02,21570,百貨店,92416
2021-01-02,21831,旅行代理店,75076
2021-01-02,20281,航空会社,94249
2021-01-02,22309,百貨店,7744
2021-01-02,23169,旅行代理店,53361
2021-01-02,28388,宿泊施設,5329
2021-01-02,25709,宿泊施設,58564
2021-01-02,21574,旅行代理店,31684
2021-01-02,23088,宿泊施設,54289
2021-01-02,20737,航空会社,17689
2021-01-02,20409,航空会社,51076
2021-01-02,24727,航空会社,10201
2021-01-02,20963,航空会社,10000
2021-01-02,25722,通信販売,66049
2021-01-02,28565,百貨店,6724
2021-01-02,26724,飲食店,14641
2021-01-02,26724,百貨店,19321
2021-01-02,26207,航空会社,93636
2021-01-02,22325,航空会社,7921
2021-01-02,25170,航空会社,8836
2021-01-02,23943,ETC,51076
2021-01-02,26196,航空会社,35721
2021-01-02,24147,宿泊施設,42436
2021-01-02,23320,通信販売,48400
2021-01-02,26094,宿泊施設,47961
2021-01-02,20870,ETC,72900
2021-01-02,20870,宿泊施設,63001
2021-01-02,23220,通信販売,36864
2021-01-02,24102,航空会社,90601
2021-01-02,26839,ETC,4225
2021-01-02,26839,宿泊施設,69696
2021-01-02,23111,百貨店,70756
2021-01-02,20071,ETC,46656
2021-01-02,20071,宿泊施設,14884
2021-01-02,21489,飲食店,11236
2021-01-02,21489,百貨店,70756
2021-01-02,23457,百貨店,71289
2021-01-02,21335,ETC,17956
2021-01-02,21335,宿泊施設,82369
2021-01-02,23452,宿泊施設,71824
2021-01-02,27684,宿泊施設,67081
2021-01-02,26276,宿泊施設,99856
2021-01-02,24373,宿泊施設,46225
2021-01-02,26172,旅行代理店,50625
2021-01-02,24705,飲食店,24964
2021-01-02,24705,百貨店,74529
2021-01-02,26721,宿泊施設,24649
2021-01-02,25627,航空会社,1444
2021-01-02,23578,ETC,53361
2021-01-02,23578,宿泊施設,7225
2021-01-02,25040,通信販売,41616
2021-01-02,21299,旅行代理店,21609
2021-01-02,21973,旅行代理店,82369
2021-01-02,25344,ETC,5929
2021-01-02,25344,宿泊施設,59049
2021-01-02,24551,ETC,39601
2021-01-02,24551,宿泊施設,37249
2021-01-02,26519,宿泊施設,1296
2021-01-02,23693,旅行代理店,33124
2021-01-02,23478,航空会社,65025
2021-01-02,26805,百貨店,1936
2021-01-02,22506,旅行代理店,6241
2021-01-02,24096,百貨店,11881
2021-01-02,22394,航空会社,9409
2021-01-02,24955,旅行代理店,38025
2021-01-02,23802,ETC,23716
2021-01-02,28214,ETC,69696
2021-01-02,28214,宿泊施設,88804
2021-01-02,23360,ETC,53824
2021-01-02,23360,宿泊施設,1369
2021-01-02,28327,航空会社,36481
2021-01-02,21106,ETC,21316
2021-01-02,21106,宿泊施設,21904
2021-01-02,28622,飲食店,19600
2021-01-02,28080,宿泊施設,70756
2021-01-02,20852,旅行代理店,51529
2021-01-02,22355,通信販売,2809
2021-01-02,22591,百貨店,10000
2021-01-02,21897,ETC,12100
2021-01-02,21897,宿泊施設,103684
2021-01-02,22735,ETC,13689
2021-01-02,22735,宿泊施設,28224
2021-01-02,27497,百貨店,5184
2021-01-02,25854,航空会社,104329
2021-01-02,23076,通信販売,7056
2021-01-02,26430,旅行代理店,48400
2021-01-02,20990,旅行代理店,17956
2021-01-02,25044,ETC,10201
2021-01-02,25044,宿泊施設,3136
2021-01-02,28023,ETC,8649
2021-01-02,28023,宿泊施設,10201
2021-01-02,23562,ETC,7396
2021-01-02,23562,宿泊施設,2209
2021-01-02,20763,ETC,81796
2021-01-02,20763,宿泊施設,3969
2021-01-02,24068,宿泊施設,7744
2021-01-02,20180,航空会社,38025
2021-01-02,22214,飲食店,4225
2021-01-02,26077,航空会社,13924
2021-01-02,28283,宿泊施設,65025
2021-01-02,25649,宿泊施設,35721
2021-01-02,27746,ETC,67081
2021-01-02,27746,宿泊施設,19600
2021-01-02,22888,航空会社,65025
2021-01-02,25741,航空会社,48841
2021-01-02,22106,宿泊施設,54289
2021-01-02,25018,ETC,57121
2021-01-02,25018,宿泊施設,1936
2021-01-02,20150,飲食店,85849
2021-01-02,20150,百貨店,16129
2021-01-02,24310,航空会社,73441
2021-01-02,25699,ETC,26569
2021-01-02,25699,宿泊施設,12544
2021-01-03,24167,宿泊施設,1849
2021-01-03,27824,航空会社,60025
2021-01-03,22012,航空会社,40804
2021-01-03,28990,ETC,40804
2021-01-03,26474,旅行代理店,71824
2021-01-03,20192,航空会社,10201
2021-01-03,28164,百貨店,4761
2021-01-03,20525,百貨店,88209
2021-01-03,22195,宿泊施設,80089
2021-01-03,24184,ETC,31684
2021-01-03,24184,宿泊施設,45796
2021-01-03,27779,ETC,37636
2021-01-03,27779,宿泊施設,2209
2021-01-03,25618,宿泊施設,20164
2021-01-03,23015,ETC,4489
2021-01-03,23015,宿泊施設,43264
2021-01-03,25131,旅行代理店,53361
2021-01-03,26562,航空会社,43681
2021-01-03,23531,旅行代理店,91809
2021-01-03,28312,宿泊施設,88209
2021-01-03,24751,旅行代理店,101761
2021-01-03,23189,宿泊施設,2704
2021-01-03,28585,宿泊施設,54289
2021-01-03,25875,ETC,19044
2021-01-03,25875,宿泊施設,21904
2021-01-03,20184,百貨店,64009
2021-01-03,28427,航空会社,30976
2021-01-03,25648,航空会社,1936
2021-01-03,27125,百貨店,90601
2021-01-03,25754,旅行代理店,6241
2021-01-03,23075,百貨店,38416
2021-01-03,27479,旅行代理店,30976
2021-01-03,27817,百貨店,103041
2021-01-03,27253,宿泊施設,16641
2021-01-03,25646,航空会社,73441
2021-01-03,20837,航空会社,29241
2021-01-03,24627,航空会社,26896
2021-01-03,20514,ETC,30976
2021-01-03,20514,宿泊施設,50176
2021-01-03,27826,飲食店,32041
2021-01-03,27826,百貨店,33489
2021-01-03,25407,ETC,29241
2021-01-03,25407,宿泊施設,36100
2021-01-03,25917,飲食店,58081
2021-01-03,21148,宿泊施設,38809
2021-01-03,27991,航空会社,24964
2021-01-03,28138,百貨店,33124
2021-01-03,27450,通信販売,4761
2021-01-03,20576,ETC,2025
2021-01-03,20576,宿泊施設,40804
2021-01-03,23307,ETC,75625
2021-01-03,21309,旅行代理店,29929
2021-01-03,23527,百貨店,89401
2021-01-03,27596,百貨店,94249
2021-01-03,26616,旅行代理店,93025
2021-01-03,22640,通信販売,13225
2021-01-03,26648,ETC,4624
2021-01-03,26648,宿泊施設,10816
2021-01-03,25924,飲食店,49284
2021-01-03,25924,百貨店,44521
2021-01-03,26140,宿泊施設,33124
2021-01-03,22374,旅行代理店,69696
2021-01-03,27387,宿泊施設,104976
2021-01-03,24384,宿泊施設,57600
2021-01-03,28512,宿泊施設,85849
2021-01-03,21907,飲食店,79524
2021-01-03,22559,航空会社,5329
2021-01-03,25175,航空会社,48400
2021-01-03,21356,航空会社,21904
2021-01-03,22776,宿泊施設,10609
2021-01-03,26324,宿泊施設,42436
2021-01-03,21771,ETC,7396
2021-01-03,21988,航空会社,93025
2021-01-03,22505,旅行代理店,29584
2021-01-03,25155,通信販売,2304
2021-01-03,20480,宿泊施設,24025
2021-01-03,28929,宿泊施設,8100
2021-01-03,25190,通信販売,26244
2021-01-03,25097,航空会社,7744
2021-01-03,26261,航空会社,97969
2021-01-03,24940,宿泊施設,93636
2021-01-03,27862,通信販売,18769
2021-01-03,24965,宿泊施設,7056
2021-01-03,21030,ETC,20449
2021-01-03,21030,宿泊施設,28900
2021-01-03,22726,航空会社,71824
2021-01-03,20692,ETC,20736
2021-01-03,20692,宿泊施設,70225
2021-01-03,28474,飲食店,34596
2021-01-03,28440,宿泊施設,36100
2021-01-03,22876,百貨店,15876
2021-01-03,26851,宿泊施設,31329
2021-01-03,20793,宿泊施設,3136
2021-01-03,26397,航空会社,9025
2021-01-03,21868,ETC,47961
2021-01-03,26986,通信販売,78961
2021-01-03,26900,宿泊施設,15376
2021-01-03,26708,ETC,49729
2021-01-03,26708,宿泊施設,28561
2021-01-03,28785,旅行代理店,961
2021-01-03,22684,宿泊施設,1444
2021-01-03,27787,航空会社,30976
2021-01-03,26859,旅行代理店,13924
2021-01-03,23411,航空会社,1764
2021-01-03,25355,旅行代理店,22801
2021-01-03,20818,航空会社,1600
2021-01-03,24061,旅行代理店,1681
2021-01-03,21461,ETC,1681
2021-01-03,21461,宿泊施設,91204
2021-01-03,27438,宿泊施設,29929
2021-01-03,28526,旅行代理店,45369
2021-01-03,24664,ETC,84681
2021-01-03,22678,航空会社,29584
2021-01-03,22401,宿泊施設,3364
2021-01-04,27793,百貨店,8100
2021-01-04,27106,航空会社,11449
2021-01-04,24654,飲食店,64009
2021-01-04,26925,飲食店,13456
2021-01-04,26925,百貨店,8836
2021-01-04,23726,宿泊施設,3969
2021-01-04,22018,航空会社,99856
2021-01-04,27399,百貨店,28224
2021-01-04,22238,ETC,36864
2021-01-04,22238,宿泊施設,24336
2021-01-04,22544,航空会社,68644
2021-01-04,28681,宿泊施設,30976
2021-01-04,28113,航空会社,3969
2021-01-04,22638,百貨店,26244
2021-01-04,23936,飲食店,15129
2021-01-04,27075,百貨店,26569
2021-01-04,20006,宿泊施設,98596
2021-01-04,22920,通信販売,12996
2021-01-04,20369,ETC,66049
2021-01-04,20369,宿泊施設,3600
2021-01-04,24960,航空会社,20449
2021-01-04,27583,百貨店,85264
2021-01-04,22450,宿泊施設,9025
2021-01-04,26556,旅行代理店,31684
2021-01-04,27845,通信販売,40401
2021-01-04,23662,ETC,6889
2021-01-04,23662,宿泊施設,99225
2021-01-04,26001,通信販売,91809
2021-01-04,21929,航空会社,27889
2021-01-04,28719,航空会社,18496
2021-01-04,20965,航空会社,61504
2021-01-04,28620,ETC,8281
2021-01-04,20784,旅行代理店,2916
2021-01-04,25212,航空会社,38025
2021-01-04,24037,飲食店,93636
2021-01-04,24037,百貨店,1521
2021-01-04,25650,航空会社,1681
2021-01-04,22825,百貨店,61009
2021-01-04,25093,航空会社,7396
2021-01-04,24207,旅行代理店,63504
2021-01-04,20384,航空会社,10404
2021-01-04,28393,百貨店,1156
2021-01-04,20520,宿泊施設,5476
2021-01-04,22745,ETC,4624
2021-01-04,22745,宿泊施設,56644
2021-01-04,20664,旅行代理店,76729
2021-01-04,28083,旅行代理店,64009
2021-01-04,24839,通信販売,24964
2021-01-04,25618,百貨店,80656
2021-01-04,25819,通信販売,76176
2021-01-04,24087,宿泊施設,19044
2021-01-04,24816,飲食店,68121
2021-01-04,22173,飲食店,2500
2021-01-04,28084,宿泊施設,50625
2021-01-04,27902,ETC,48841
2021-01-04,27902,宿泊施設,108241
2021-01-04,23189,百貨店,32041
2021-01-04,28569,航空会社,40000
2021-01-04,22481,通信販売,106929
2021-01-04,22995,通信販売,15376
2021-01-04,20123,宿泊施設,9025
2021-01-04,25862,航空会社,75625
2021-01-04,22635,ETC,9801
2021-01-04,22730,通信販売,22801
2021-01-04,22017,宿泊施設,61009
2021-01-04,27015,通信販売,13924
2021-01-04,25094,飲食店,106276
2021-01-04,25094,百貨店,28561
2021-01-04,25847,旅行代理店,101124
2021-01-04,27042,ETC,2704
2021-01-04,27042,宿泊施設,91809
2021-01-04,21535,ETC,42025
2021-01-04,21535,宿泊施設,3249
2021-01-04,24990,宿泊施設,43264
2021-01-04,25272,ETC,8836
2021-01-04,21615,宿泊施設,19044
2021-01-04,24103,ETC,3969
2021-01-04,28462,旅行代理店,26896
2021-01-04,27206,ETC,6889
2021-01-04,27206,宿泊施設,10816
2021-01-04,21322,飲食店,40804
2021-01-04,25516,通信販売,11664
2021-01-04,21001,ETC,11449
2021-01-04,26644,航空会社,6561
2021-01-04,25737,ETC,19600
2021-01-04,25451,宿泊施設,33124
2021-01-04,20254,飲食店,55225
2021-01-04,20254,百貨店,16129
2021-01-04,23419,宿泊施設,85849
2021-01-04,20309,宿泊施設,93025
2021-01-04,23220,百貨店,68644
2021-01-04,26601,百貨店,47089
2021-01-04,27591,宿泊施設,2916
2021-01-04,28395,航空会社,36481
2021-01-04,25011,宿泊施設,59049
2021-01-04,27891,飲食店,30976
2021-01-04,27891,百貨店,19600
2021-01-04,23244,航空会社,93025
2021-01-04,25638,飲食店,32761
2021-01-04,24001,通信販売,74529
2021-01-04,27414,航空会社,51529
2021-01-04,20062,航空会社,77841
2021-01-04,27352,宿泊施設,2025
2021-01-04,21308,航空会社,22201
2021-01-04,20885,宿泊施設,1156
2021-01-04,27872,宿泊施設,61009
2021-01-04,23528,航空会社,33489
2021-01-04,21148,航空会社,11025
2021-01-04,26084,百貨店,42436
2021-01-04,27639,ETC,2601
2021-01-04,27639,宿泊施設,52441
2021-01-04,25355,航空会社,4356
2021-01-04,26907,ETC,22801
2021-01-04,26907,宿泊施設,87616
2021-01-04,24406,旅行代理店,3136
2021-01-05,22763,航空会社,1225
2021-01-05,24739,宿泊施設,2809
2021-01-05,24075,通信販売,31329
2021-01-05,26507,航空会社,30625
2021-01-05,27613,航空会社,43681
2021-01-05,27398,ETC,25600
2021-01-05,27398,宿泊施設,12996
2021-01-05,21013,ETC,40000
2021-01-05,25059,航空会社,40804
2021-01-05,22441,ETC,14884
2021-01-05,22441,宿泊施設,27556
2021-01-05,20655,宿泊施設,66564
2021-01-05,23972,ETC,28900
2021-01-05,23972,宿泊施設,62500
2021-01-05,26554,宿泊施設,50625
2021-01-05,22137,ETC,1600
2021-01-05,24721,通信販売,4624
2021-01-05,28491,航空会社,21316
2021-01-05,20706,宿泊施設,2209
2021-01-05,22722,宿泊施設,103041
2021-01-05,24920,ETC,94249
2021-01-05,24920,宿泊施設,35344
2021-01-05,28521,ETC,9409
2021-01-05,28521,宿泊施設,2704
2021-01-05,21821,宿泊施設,46225
2021-01-05,26541,航空会社,29241
2021-01-05,24153,ETC,15376
2021-01-05,27910,航空会社,10609
2021-01-05,22759,通信販売,33489
2021-01-05,21989,宿泊施設,12100
2021-01-05,23755,ETC,55696
2021-01-05,28607,百貨店,8649
2021-01-05,21975,飲食店,40401
2021-01-05,22092,飲食店,108241
2021-01-05,22092,百貨店,32400
2021-01-05,21124,航空会社,53361
2021-01-05,27407,航空会社,4900
2021-01-05,24711,航空会社,11025
2021-01-05,28429,百貨店,20164
2021-01-05,24036,航空会社,81225
2021-01-05,28684,宿泊施設,18769
2021-01-05,27176,航空会社,1225
2021-01-05,23218,航空会社,21025
2021-01-05,28556,ETC,90601
2021-01-05,26657,旅行代理店,29929
2021-01-05,22643,宿泊施設,84100
2021-01-05,26698,飲食店,19881
2021-01-05,26698,百貨店,5476
2021-01-05,28668,通信販売,49284
2021-01-05,25256,宿泊施設,11449
2021-01-05,27645,百貨店,24964
2021-01-05,23971,航空会社,17161
2021-01-05,26381,通信販売,5476
2021-01-05,23863,航空会社,73441
2021-01-05,20010,ETC,60025
2021-01-05,25834,通信販売,51529
2021-01-05,20671,航空会社,4489
2021-01-05,23633,旅行代理店,1296
2021-01-05,24971,旅行代理店,53361
2021-01-05,24443,航空会社,17689
2021-01-05,25471,通信販売,1089
2021-01-05,24549,宿泊施設,77284
2021-01-05,24614,ETC,82944
2021-01-05,24614,宿泊施設,42849
2021-01-05,22794,通信販売,28900
2021-01-05,27406,百貨店,25921
2021-01-05,25068,航空会社,5929
2021-01-05,24380,ETC,46225
2021-01-05,24380,宿泊施設,106276
2021-01-05,21015,ETC,34225
2021-01-05,21015,宿泊施設,21609
2021-01-05,24628,ETC,75076
2021-01-05,24628,宿泊施設,106276
2021-01-05,24369,宿泊施設,53361
2021-01-05,22134,飲食店,60516
2021-01-05,27387,旅行代理店,70225
2021-01-05,27372,宿泊施設,26896
2021-01-05,23459,ETC,77841
2021-01-05,24484,飲食店,70225
2021-01-05,24484,百貨店,4761
2021-01-05,21142,飲食店,78961
2021-01-05,21142,百貨店,85849
2021-01-05,20364,ETC,4096
2021-01-05,20364,宿泊施設,27225
2021-01-05,23175,航空会社,22201
2021-01-05,27498,ETC,17161
2021-01-05,27498,宿泊施設,27889
2021-01-05,28847,百貨店,44521
2021-01-05,23486,飲食店,106276
2021-01-05,23486,百貨店,68121
2021-01-05,23301,百貨店,7396
2021-01-05,22446,宿泊施設,13689
2021-01-05,23077,航空会社,3844
2021-01-05,22952,航空会社,43264
2021-01-05,22749,ETC,37249
2021-01-05,22749,宿泊施設,42436
2021-01-05,24262,宿泊施設,10816
2021-01-05,20519,百貨店,4225
2021-01-05,28343,通信販売,43681
2021-01-05,23788,ETC,73441
2021-01-05,23788,宿泊施設,72361
2021-01-05,23463,ETC,4096
2021-01-05,23463,宿泊施設,100489
2021-01-05,23031,ETC,16129
2021-01-05,23031,宿泊施設,1089
2021-01-05,27968,航空会社,60025
2021-01-05,28766,ETC,99225
2021-01-05,28766,宿泊施設,58081
2021-01-05,28159,ETC,44521
2021-01-05,28159,宿泊施設,54756
2021-01-05,23798,航空会社,42849
2021-01-05,25348,ETC,57121
2021-01-05,25348,宿泊施設,54756
2021-01-05,26029,ETC,70756
2021-01-05,26029,宿泊施設,13924
2021-01-05,21797,航空会社,11449
2021-01-05,28455,航空会社,93025
2021-01-05,24314,宿泊施設,42025
2021-01-05,22775,宿泊施設,42849
2021-01-05,22936,宿泊施設,14400
2021-01-05,23725,航空会社,24025
2021-01-05,24181,飲食店,7225
2021-01-05,24181,百貨店,42436
2021-01-05,22707,宿泊施設,25921
2021-01-05,25972,宿泊施設,55696
2021-01-06,25328,宿泊施設,64516
2021-01-06,26397,宿泊施設,34596
2021-01-06,26682,航空会社,101124
2021-01-06,20322,航空会社,106929
2021-01-06,22179,宿泊施設,106276
2021-01-06,20096,百貨店,66049
2021-01-06,21594,航空会社,17424
2021-01-06,23997,航空会社,17161
2021-01-06,26281,通信販売,66049
2021-01-06,25990,宿泊施設,105625
2021-01-06,23943,航空会社,16129
2021-01-06,26242,宿泊施設,4225
2021-01-06,21884,通信販売,2304
2021-01-06,27472,ETC,1296
2021-01-06,27133,百貨店,108241
2021-01-06,28524,航空会社,3721
2021-01-06,22903,百貨店,68644
2021-01-06,23760,航空会社,63001
2021-01-06,24424,百貨店,55696
2021-01-06,22385,宿泊施設,73441
2021-01-06,24499,ETC,12100
2021-01-06,26976,通信販売,7056
2021-01-06,20780,航空会社,105625
2021-01-06,22464,通信販売,5476
2021-01-06,24148,ETC,108900
2021-01-06,26139,百貨店,60516
2021-01-06,25888,航空会社,2209
2021-01-06,23610,航空会社,17956
2021-01-06,28974,ETC,51076
2021-01-06,28974,宿泊施設,3025
2021-01-06,25547,飲食店,7569
2021-01-06,25547,百貨店,43681
2021-01-06,26575,宿泊施設,87616
2021-01-06,23518,宿泊施設,5184
2021-01-06,23534,通信販売,4225
2021-01-06,24800,通信販売,1156
2021-01-06,20978,飲食店,3025
2021-01-06,20978,百貨店,70756
2021-01-06,26372,通信販売,42849
2021-01-06,23511,飲食店,20164
2021-01-06,23511,百貨店,4489
2021-01-06,20437,宿泊施設,25921
2021-01-06,27641,飲食店,1681
2021-01-06,27641,百貨店,87616
2021-01-06,28962,宿泊施設,21025
2021-01-06,26809,宿泊施設,47961
2021-01-06,20888,航空会社,54289
2021-01-06,20357,ETC,44944
2021-01-06,22941,百貨店,81225
2021-01-06,23451,航空会社,23104
2021-01-06,22034,百貨店,32400
2021-01-06,21802,通信販売,66564
2021-01-06,27022,ETC,78961
2021-01-06,27022,宿泊施設,1600
2021-01-06,26243,宿泊施設,47089
2021-01-06,28352,ETC,37249
2021-01-06,28352,宿泊施設,23409
2021-01-06,24221,百貨店,73984
2021-01-06,25472,旅行代理店,22801
2021-01-06,21459,飲食店,5476
2021-01-06,21459,百貨店,18769
2021-01-06,24546,航空会社,7396
2021-01-06,28433,宿泊施設,52441
2021-01-06,26066,旅行代理店,36481
2021-01-06,26136,旅行代理店,48841
2021-01-06,26546,通信販売,15876
2021-01-06,21831,ETC,62001
2021-01-06,21831,宿泊施設,108241
2021-01-06,23019,宿泊施設,2116
2021-01-06,22856,百貨店,26569
2021-01-06,22648,宿泊施設,73984
2021-01-06,28467,宿泊施設,3364
2021-01-06,22981,航空会社,27889
2021-01-06,28300,ETC,16641
2021-01-06,28300,宿泊施設,15376
2021-01-06,28881,航空会社,24964
2021-01-06,27271,旅行代理店,61009
2021-01-06,23115,百貨店,15625
2021-01-06,24325,ETC,59536
2021-01-06,24325,宿泊施設,61504
2021-01-06,22728,宿泊施設,96721
2021-01-06,22024,宿泊施設,6084
2021-01-06,23427,旅行代理店,14641
2021-01-06,26413,飲食店,36100
2021-01-06,25724,飲食店,102400
2021-01-06,27185,ETC,25281
2021-01-06,27443,航空会社,17161
2021-01-06,24423,飲食店,21025
2021-01-06,24423,百貨店,37249
2021-01-06,23594,通信販売,24649
2021-01-06,26946,百貨店,50625
2021-01-06,26564,宿泊施設,60025
2021-01-06,23387,航空会社,48841
2021-01-06,27719,通信販売,34596
2021-01-06,28380,ETC,4900
2021-01-06,28380,宿泊施設,2601
2021-01-06,21883,宿泊施設,30976
2021-01-06,22296,ETC,26244
2021-01-06,22296,宿泊施設,11881
2021-01-06,26998,旅行代理店,99225
2021-01-06,28172,航空会社,6561
2021-01-06,20125,宿泊施設,76176
2021-01-06,20500,飲食店,52441
2021-01-06,20500,百貨店,97344
2021-01-06,20680,宿泊施設,40000
2021-01-06,24348,ETC,38025
2021-01-06,27042,宿泊施設,19600
2021-01-06,20673,旅行代理店,6889
2021-01-06,25950,飲食店,103684
2021-01-06,25950,百貨店,39204
2021-01-06,20824,飲食店,12100
2021-01-06,20824,百貨店,33856
2021-01-06,28254,航空会社,59049
2021-01-06,28439,ETC,9604
2021-01-06,28053,ETC,3364
2021-01-06,28053,宿泊施設,69169
2021-01-06,21206,ETC,69169
2021-01-06,20200,通信販売,26896
2021-01-07,25074,通信販売,35344
2021-01-07,25079,航空会社,26569
2021-01-07,24661,通信販売,87025
2021-01-07,23921,航空会社,14161
2021-01-07,28790,飲食店,91809
2021-01-07,28790,百貨店,54756
2021-01-07,26769,旅行代理店,17689
2021-01-07,24763,百貨店,28561
2021-01-07,28087,宿泊施設,29929
2021-01-07,20533,飲食店,38809
2021-01-07,20533,百貨店,18496
2021-01-07,28485,旅行代理店,22500
2021-01-07,27509,百貨店,3844
2021-01-07,21711,航空会社,3969
2021-01-07,20949,通信販売,1936
2021-01-07,23097,飲食店,4900
2021-01-07,23097,百貨店,10609
2021-01-07,22313,宿泊施設,48400
2021-01-07,20589,航空会社,9801
2021-01-07,24740,飲食店,41209
2021-01-07,24740,百貨店,75625
2021-01-07,28169,ETC,2209
2021-01-07,28169,宿泊施設,22500
2021-01-07,25232,ETC,48400
2021-01-07,24261,宿泊施設,60516
2021-01-07,24238,飲食店,74529
2021-01-07,25898,航空会社,78400
2021-01-07,20571,旅行代理店,69169
2021-01-07,24600,宿泊施設,4489
2021-01-07,22529,通信販売,52441
2021-01-07,21738,宿泊施設,56169
2021-01-07,22369,旅行代理店,77284
2021-01-07,22396,航空会社,3600
2021-01-07,27230,航空会社,30625
2021-01-07,27106,航空会社,1296
2021-01-07,27190,宿泊施設,47961
2021-01-07,23124,飲食店,48841
2021-01-07,23124,百貨店,10816
2021-01-07,24032,百貨店,73441
2021-01-07,23001,ETC,98596
