顧客番号,性別,居住地区,持ち家,年収,生年月日
20164,男性,目黒区,なし,7900000,1978-09-12
20165,女性,杉並区,なし,4500000,1976-10-02
20166,男性,品川区,あり,7100000,1966-05-10
20167,女性,杉並区,なし,5300000,1995-06-23
20168,女性,品川区,あり,4700000,1968-06-04
20169,女性,世田谷区,あり,8400000,1962-05-21
20170,男性,世田谷区,なし,5200000,1966-06-21
20171,男性,品川区,なし,5100000,1978-08-20
20172,女性,目黒区,あり,7500000,1970-07-26
20173,男性,世田谷区,なし,2100000,2000-03-01
20174,男性,品川区,なし,6300000,1974-06-20
20175,男性,品川区,あり,7800000,1983-02-02
20176,男性,世田谷区,なし,8200000,1980-09-20
20177,男性,杉並区,なし,3400000,1974-10-20
20178,男性,目黒区,あり,6400000,1968-05-09
20179,女性,品川区,なし,4900000,1980-07-12
20180,女性,目黒区,なし,4300000,1978-11-14
20181,女性,品川区,あり,7600000,1974-07-10
20182,女性,品川区,なし,5600000,1975-05-17
20183,男性,品川区,あり,7500000,1962-10-14
20184,男性,杉並区,あり,6400000,1988-10-16
20185,女性,杉並区,なし,5300000,1980-06-28
20186,女性,世田谷区,あり,6500000,1972-02-18
20187,女性,品川区,あり,4600000,1989-11-15
20188,男性,世田谷区,あり,4500000,1985-11-14
20189,女性,目黒区,あり,4600000,1986-07-15
20190,男性,世田谷区,あり,6900000,1991-08-25
20191,男性,杉並区,なし,6100000,1987-07-05
20192,男性,世田谷区,なし,6400000,1958-12-02
20193,女性,世田谷区,あり,4300000,1977-05-15
20194,女性,品川区,なし,6600000,1969-12-07
20195,男性,品川区,なし,5700000,1974-02-25
20196,女性,目黒区,なし,5900000,1973-07-18
20197,女性,世田谷区,なし,4100000,1993-10-18
20198,女性,品川区,あり,4200000,1984-07-18
20199,男性,目黒区,あり,5900000,1984-04-01
20200,男性,杉並区,あり,8400000,1965-08-04
20201,男性,目黒区,あり,3800000,1998-08-13
20202,男性,目黒区,なし,5100000,1969-05-22
20203,女性,杉並区,あり,4900000,1966-11-03
20204,男性,杉並区,あり,6200000,1985-03-27
20205,男性,杉並区,あり,2200000,2000-09-19
20206,男性,杉並区,なし,5900000,1981-06-14
20207,女性,杉並区,あり,7000000,1967-02-17
20208,男性,目黒区,あり,7600000,1979-07-09
20209,男性,杉並区,なし,5500000,1962-11-11
20210,女性,目黒区,なし,4800000,1980-12-06
20211,女性,目黒区,なし,5000000,1979-06-05
20212,女性,目黒区,なし,5200000,1995-04-13
20213,男性,世田谷区,なし,6800000,1980-05-24
20214,男性,杉並区,なし,4600000,1989-06-15
20215,女性,世田谷区,あり,5800000,1987-11-11
20216,女性,杉並区,なし,5400000,1993-09-20
20217,男性,目黒区,なし,2800000,1998-12-16
20218,男性,品川区,あり,4600000,1979-11-09
20219,男性,世田谷区,あり,3700000,1992-10-20
20220,男性,世田谷区,なし,2100000,1998-10-25
20221,男性,目黒区,あり,7200000,1993-02-19
20222,女性,世田谷区,あり,7100000,1980-08-10
20223,女性,目黒区,あり,3000000,1996-05-11
20224,女性,杉並区,あり,8000000,1981-07-03
20225,男性,杉並区,なし,7300000,1978-02-11
20226,女性,目黒区,あり,6800000,1984-01-21
20227,男性,品川区,あり,7000000,1960-09-11
20228,男性,世田谷区,あり,4200000,1986-10-19
20229,女性,世田谷区,あり,4900000,2002-04-15
20230,男性,品川区,あり,5400000,1998-04-11
20231,男性,目黒区,あり,5500000,1967-07-22
20232,女性,品川区,なし,3400000,1984-05-16
20233,男性,目黒区,なし,1900000,1996-01-18
20234,男性,目黒区,なし,5400000,1999-08-01
20235,男性,目黒区,なし,2900000,1990-11-25
20236,女性,目黒区,なし,3500000,1986-01-24
20237,女性,品川区,なし,4800000,1986-09-26
20238,男性,杉並区,なし,5800000,1976-11-17
20239,男性,目黒区,あり,7700000,1976-12-06
20240,男性,目黒区,あり,3800000,1981-07-02
20241,女性,世田谷区,なし,4800000,1998-12-19
20242,男性,品川区,あり,6100000,1960-03-16
20243,女性,杉並区,なし,2800000,1982-05-20
20244,女性,品川区,あり,3800000,2000-10-04
20245,男性,杉並区,あり,4900000,1978-05-15
20246,女性,品川区,なし,5400000,1991-08-28
20247,男性,品川区,あり,2400000,1989-12-04
20248,女性,目黒区,あり,3400000,1988-03-04
20249,女性,世田谷区,あり,3500000,1991-01-05
20250,男性,目黒区,あり,4000000,1996-08-25
20251,男性,世田谷区,なし,4600000,1988-03-11
20252,女性,目黒区,なし,3600000,1986-07-12
20253,男性,世田谷区,あり,6200000,1957-04-28
20254,女性,世田谷区,なし,6400000,1961-09-24
20255,男性,目黒区,なし,5400000,1991-05-08
20256,女性,目黒区,なし,5400000,1986-08-19
20257,男性,杉並区,なし,6600000,1985-01-23
20258,男性,世田谷区,なし,2300000,2002-02-24
20259,男性,品川区,なし,3500000,1999-09-12
20260,女性,目黒区,あり,7500000,1979-08-24
20261,女性,品川区,なし,7500000,1972-06-04
20262,女性,杉並区,なし,6000000,1967-06-14
20263,女性,目黒区,なし,5400000,1985-11-17
20264,男性,品川区,なし,7800000,1980-12-11
20265,男性,目黒区,あり,6900000,1968-06-27
20266,女性,世田谷区,あり,6300000,1982-07-22
20267,男性,品川区,なし,4300000,1989-12-22
20268,男性,品川区,あり,3100000,1994-01-05
20269,女性,世田谷区,なし,3400000,2001-09-14
20270,女性,品川区,なし,5100000,1985-04-26
20271,女性,世田谷区,なし,4300000,1978-06-11
20272,女性,目黒区,なし,5400000,1975-02-02
20273,男性,目黒区,あり,7400000,1971-07-19
20274,男性,目黒区,なし,4400000,1980-06-21
20275,女性,世田谷区,あり,5900000,1972-09-23
20276,女性,杉並区,あり,5400000,1980-07-15
20277,女性,品川区,あり,4200000,1971-01-19
20278,男性,杉並区,なし,5300000,1982-06-01
20279,女性,品川区,なし,4300000,1983-07-22
20280,女性,目黒区,あり,7200000,1976-11-03
20281,男性,杉並区,なし,4600000,1976-05-11
20282,女性,目黒区,なし,6600000,1961-01-06
20283,女性,杉並区,なし,4300000,1958-08-05
20284,男性,杉並区,あり,3600000,1993-07-03
20285,女性,杉並区,なし,7000000,1988-01-06
20286,男性,杉並区,なし,6500000,1986-10-20
20287,男性,品川区,あり,4500000,1992-03-07
20288,男性,品川区,なし,4200000,1972-12-19
20289,女性,目黒区,あり,4000000,1990-12-24
20290,男性,世田谷区,なし,4300000,1988-07-25
20291,女性,目黒区,あり,4500000,1995-02-08
20292,男性,目黒区,あり,4500000,1984-12-04
20293,男性,世田谷区,あり,7200000,1979-04-10
20294,女性,世田谷区,なし,4400000,1973-12-14
20295,女性,杉並区,なし,4000000,1970-05-27
20296,男性,杉並区,あり,4200000,1989-05-22
20297,男性,世田谷区,なし,5800000,1975-06-09
20298,男性,品川区,なし,5500000,1972-02-05
20299,女性,目黒区,なし,3400000,1985-03-09
20300,女性,目黒区,あり,6500000,1957-08-05
20301,男性,杉並区,なし,6500000,1967-12-02
20302,女性,世田谷区,なし,4400000,1984-08-09
20303,女性,目黒区,なし,6000000,1986-10-21
20304,男性,品川区,あり,6100000,1990-10-06
20305,男性,世田谷区,なし,1100000,2000-10-12
20306,男性,杉並区,なし,5900000,1971-09-02
20307,女性,目黒区,あり,3800000,1990-03-03
20308,男性,品川区,あり,3800000,2001-10-01
20309,女性,世田谷区,なし,4700000,1964-11-23
20310,男性,杉並区,あり,6300000,1978-08-08
20311,男性,目黒区,なし,4400000,1983-03-12
20312,男性,品川区,なし,2700000,1984-09-06
20313,女性,品川区,なし,6600000,1981-08-17
20314,男性,目黒区,なし,4800000,2001-06-21
20315,男性,世田谷区,なし,5700000,1963-03-13
20316,男性,杉並区,なし,5500000,1984-12-13
20317,女性,品川区,あり,7400000,1976-02-01
20318,女性,杉並区,あり,6500000,1978-11-14
20319,男性,目黒区,なし,2700000,1997-09-01
20320,男性,杉並区,あり,3000000,1992-01-07
20321,男性,世田谷区,なし,4100000,1996-11-13
20322,男性,品川区,なし,7900000,1973-08-16
20323,女性,目黒区,あり,3300000,1991-12-06
20324,女性,世田谷区,あり,7200000,1985-10-28
20325,女性,世田谷区,なし,5700000,1966-12-09
20326,男性,目黒区,なし,5600000,1973-10-12
20327,女性,目黒区,なし,4600000,1989-11-16
20328,女性,品川区,あり,4600000,1967-12-13
20329,女性,杉並区,あり,3800000,1984-05-07
20330,女性,品川区,あり,6200000,1990-05-17
20331,女性,杉並区,なし,5900000,1987-10-27
20332,女性,世田谷区,あり,5700000,1983-04-09
20333,男性,品川区,あり,3400000,1990-10-03
20334,女性,品川区,あり,4300000,1996-09-02
20335,男性,世田谷区,なし,3400000,1960-11-07
20336,男性,杉並区,あり,6000000,1982-05-10
20337,男性,目黒区,あり,7300000,1983-07-06
20338,男性,品川区,なし,5500000,1963-01-18
20339,男性,目黒区,なし,7000000,1960-06-15
20340,女性,目黒区,あり,5200000,1969-03-11
20341,女性,杉並区,あり,5900000,1962-09-08
20342,女性,品川区,なし,5000000,1991-10-05
20343,男性,世田谷区,あり,5800000,1959-04-08
20344,女性,杉並区,なし,2700000,1993-01-16
20345,女性,品川区,あり,1700000,1995-07-07
20346,女性,世田谷区,あり,6500000,1980-11-18
20347,女性,世田谷区,あり,4000000,1994-07-05
20348,男性,目黒区,あり,7400000,1963-12-19
20349,女性,世田谷区,なし,8000000,1968-01-04
20350,女性,目黒区,なし,5300000,1961-08-13
20351,女性,杉並区,なし,2500000,1987-08-06
20352,女性,品川区,なし,6500000,1969-05-19
20353,男性,目黒区,なし,2800000,1989-04-19
20354,男性,品川区,なし,4300000,1976-10-12
20355,男性,世田谷区,あり,5200000,1981-03-22
20356,女性,品川区,あり,3900000,1966-10-04
20357,男性,杉並区,なし,3800000,1980-03-20
20358,女性,世田谷区,あり,4400000,1996-08-08
20359,男性,杉並区,なし,4000000,1968-11-03
20360,女性,杉並区,あり,4400000,1977-01-12
20361,男性,世田谷区,なし,6600000,1981-11-02
20362,女性,品川区,なし,6300000,1989-01-10
20363,女性,目黒区,あり,4800000,1978-11-19
20364,女性,杉並区,なし,3600000,1997-11-01
20365,女性,杉並区,なし,6200000,1979-11-20
20366,女性,世田谷区,なし,6400000,1989-03-12
20367,男性,杉並区,あり,6000000,1994-01-19
20368,女性,世田谷区,なし,2900000,1994-02-25
20369,女性,世田谷区,なし,5800000,1989-08-08
20370,女性,世田谷区,あり,7200000,1979-08-07
20371,女性,杉並区,あり,6100000,1986-01-01
20372,男性,目黒区,あり,6500000,1975-11-16
20373,女性,世田谷区,なし,5200000,1981-10-14
20374,女性,杉並区,なし,6400000,1999-08-24
20375,男性,杉並区,あり,6400000,1989-07-22
20376,女性,目黒区,なし,6100000,1980-07-07
20377,女性,目黒区,あり,4900000,1986-08-27
20378,男性,品川区,あり,5500000,1983-01-13
20379,女性,目黒区,あり,5800000,1982-04-26
20380,女性,品川区,あり,5200000,1973-02-28
20381,男性,世田谷区,なし,5200000,1976-08-27
20382,女性,世田谷区,あり,4800000,1986-05-02
20383,男性,杉並区,なし,4000000,2002-05-25
20384,男性,品川区,なし,3500000,1972-07-22
20385,男性,杉並区,なし,4900000,1964-04-17
20386,男性,杉並区,なし,6100000,1967-07-02
20387,女性,世田谷区,あり,5600000,1972-12-06
20388,女性,目黒区,なし,3400000,1979-09-27
20389,女性,世田谷区,あり,4500000,1970-10-16
20390,女性,目黒区,なし,3400000,1986-10-25
20391,女性,世田谷区,あり,4700000,1989-08-09
20392,男性,杉並区,なし,7900000,1983-08-26
20393,女性,世田谷区,あり,4600000,1989-04-22
20394,男性,目黒区,あり,4000000,1980-04-26
20395,男性,品川区,あり,6800000,1975-08-02
20396,男性,目黒区,なし,6000000,1980-04-04
20397,男性,目黒区,なし,3900000,1998-04-14
20398,女性,目黒区,あり,3600000,1982-08-24
20399,女性,杉並区,なし,4300000,1986-08-13
20400,女性,目黒区,あり,7900000,1978-12-24
20401,男性,目黒区,なし,6700000,1986-12-11
20402,男性,目黒区,あり,4300000,1969-08-14
20403,男性,目黒区,あり,3400000,1990-10-18
20404,男性,杉並区,なし,6500000,1973-04-13
20405,女性,世田谷区,あり,5500000,1966-02-28
20406,女性,杉並区,あり,2800000,1993-07-20
20407,女性,杉並区,なし,7300000,1975-02-24
20408,女性,世田谷区,あり,8100000,1977-04-04
20409,女性,世田谷区,あり,4800000,1960-01-27
20410,女性,目黒区,なし,3300000,2001-10-25
20411,女性,品川区,あり,4200000,1972-07-23
20412,女性,杉並区,なし,4900000,1976-06-05
20413,男性,世田谷区,なし,4600000,1972-10-12
20414,女性,目黒区,あり,6100000,1984-07-13
20415,女性,世田谷区,あり,5800000,1987-06-07
20416,女性,目黒区,あり,6100000,1986-03-13
20417,男性,世田谷区,なし,5300000,1981-12-24
20418,女性,品川区,あり,5000000,1985-01-18
20419,女性,品川区,あり,7800000,1982-09-04
20420,男性,品川区,あり,4600000,1993-01-14
20421,男性,品川区,なし,4200000,1976-03-21
20422,男性,品川区,なし,6400000,1983-05-20
20423,男性,品川区,なし,6800000,1963-02-02
20424,男性,品川区,あり,5100000,1980-06-15
20425,男性,目黒区,あり,6300000,1988-08-06
20426,男性,目黒区,あり,5100000,1968-04-23
20427,男性,目黒区,なし,5000000,1993-07-20
20428,男性,目黒区,なし,5800000,1988-03-27
20429,女性,世田谷区,なし,2400000,1996-11-21
20430,女性,品川区,なし,4000000,1992-09-09
20431,女性,世田谷区,なし,8200000,1976-12-27
20432,男性,杉並区,あり,6300000,1977-01-19
20433,男性,品川区,あり,7700000,1957-07-14
20434,女性,目黒区,なし,300000,2001-07-02
20435,女性,目黒区,なし,4000000,1968-12-09
20436,女性,杉並区,あり,5100000,1981-08-14
20437,女性,杉並区,なし,7200000,1986-05-11
20438,男性,世田谷区,なし,3900000,1977-09-02
20439,女性,目黒区,なし,2600000,1991-02-28
20440,女性,目黒区,あり,5500000,1978-06-02
20441,女性,杉並区,あり,3600000,1988-05-07
20442,男性,杉並区,なし,3400000,1989-12-15
20443,女性,世田谷区,あり,6400000,1981-10-14
20444,男性,杉並区,なし,5900000,1976-12-22
20445,女性,杉並区,あり,2000000,1994-11-09
20446,男性,世田谷区,あり,4300000,1989-12-09
20447,男性,品川区,なし,5700000,1984-01-16
20448,男性,品川区,あり,4600000,1973-05-19
20449,男性,目黒区,あり,5300000,1983-02-04
20450,女性,目黒区,なし,7000000,1977-07-07
20451,女性,目黒区,なし,3700000,1986-08-17
20452,女性,世田谷区,あり,7000000,1976-12-17
20453,男性,杉並区,なし,5900000,1972-08-06
20454,男性,杉並区,あり,1600000,1999-07-21
20455,男性,目黒区,なし,4500000,1968-01-05
20456,女性,杉並区,あり,4100000,1984-09-08
20457,男性,品川区,あり,5300000,1988-08-27
20458,男性,世田谷区,なし,6700000,1988-03-01
20459,男性,品川区,なし,5900000,1983-03-04
20460,女性,杉並区,あり,4100000,1988-04-13
20461,男性,目黒区,なし,4700000,1969-06-24
20462,男性,品川区,あり,1500000,1999-07-20
20463,女性,目黒区,なし,7700000,1984-05-22
20464,女性,品川区,なし,5100000,1991-04-01
20465,男性,杉並区,あり,2800000,1992-05-02
20466,男性,目黒区,なし,2900000,1995-03-28
20467,女性,杉並区,あり,4800000,1977-08-07
20468,男性,世田谷区,なし,4500000,1980-05-14
20469,女性,世田谷区,なし,4200000,1997-08-22
20470,男性,杉並区,なし,5100000,1995-08-09
20471,女性,杉並区,なし,6600000,1972-08-10
20472,男性,目黒区,なし,4800000,1968-03-07
20473,男性,杉並区,あり,4900000,1976-04-25
20474,男性,杉並区,なし,7000000,1976-02-06
20475,女性,世田谷区,あり,6000000,1974-06-19
20476,男性,目黒区,あり,4500000,1959-12-10
20477,男性,目黒区,あり,5900000,1976-03-10
20478,男性,世田谷区,あり,5600000,1963-06-07
20479,女性,杉並区,あり,8200000,1970-09-11
20480,女性,目黒区,なし,5400000,1995-05-17
20481,女性,杉並区,なし,4300000,1999-04-13
20482,女性,品川区,あり,5300000,1968-01-26
20483,女性,目黒区,なし,7800000,1977-08-28
20484,女性,世田谷区,あり,6100000,1973-04-27
20485,男性,杉並区,あり,5800000,1994-12-19
20486,女性,世田谷区,なし,6400000,1992-10-03
20487,女性,杉並区,なし,8100000,1981-09-03
20488,女性,杉並区,なし,5700000,1973-11-01
20489,男性,品川区,なし,7300000,1981-02-01
20490,女性,品川区,なし,7000000,1980-11-25
20491,男性,品川区,あり,4200000,1973-08-23
20492,男性,目黒区,なし,5100000,1974-03-03
20493,男性,目黒区,なし,5100000,1964-07-24
20494,男性,杉並区,なし,4100000,1986-05-09
20495,男性,品川区,あり,4000000,1969-08-05
20496,女性,品川区,あり,4000000,1986-10-15
20497,女性,杉並区,あり,2900000,1988-03-23
20498,男性,世田谷区,あり,2400000,1990-07-27
20499,男性,世田谷区,あり,4900000,1978-08-23
20500,女性,世田谷区,なし,3800000,1967-05-18
20501,女性,杉並区,なし,6800000,1972-09-14
20502,女性,品川区,あり,7600000,1983-02-14
20503,女性,世田谷区,なし,7200000,1974-03-11
20504,男性,杉並区,なし,3600000,1988-06-08
20505,女性,杉並区,なし,6600000,1972-02-27
20506,女性,世田谷区,あり,6000000,1958-08-07
20507,女性,目黒区,なし,7500000,1984-12-27
20508,女性,品川区,なし,4700000,1963-06-10
20509,男性,品川区,あり,5900000,1981-10-12
20510,男性,世田谷区,なし,6700000,1973-03-10
20511,男性,品川区,なし,3500000,1988-02-17
20512,男性,杉並区,あり,4200000,1996-11-26
20513,男性,目黒区,あり,6800000,1971-01-06
20514,女性,杉並区,あり,6700000,1985-11-10
20515,女性,杉並区,あり,4500000,1971-09-22
20516,男性,品川区,あり,6400000,1988-07-05
20517,女性,世田谷区,なし,7200000,1967-03-18
20518,男性,杉並区,あり,5100000,1984-09-27
20519,男性,目黒区,なし,7300000,1979-06-07
20520,男性,世田谷区,あり,6700000,1983-03-26
20521,女性,品川区,なし,5500000,1983-08-19
20522,男性,目黒区,なし,4900000,2002-11-23
20523,女性,品川区,なし,3800000,1959-10-17
20524,男性,目黒区,なし,4000000,1985-01-09
20525,女性,杉並区,なし,5600000,1979-04-16
20526,男性,世田谷区,なし,6000000,1980-06-27
20527,男性,品川区,あり,2600000,1989-03-10
20528,女性,品川区,あり,3800000,1990-01-08
20529,女性,杉並区,なし,5600000,1978-03-28
20530,女性,杉並区,あり,4300000,1977-07-01
20531,男性,世田谷区,あり,1700000,2000-09-07
20532,女性,目黒区,なし,7100000,1978-07-02
20533,男性,世田谷区,あり,4500000,1957-10-27
20534,男性,世田谷区,あり,7900000,1965-09-17
20535,女性,品川区,あり,4100000,1991-11-03
20536,女性,目黒区,あり,3600000,1999-07-28
20537,女性,目黒区,あり,4200000,1985-11-21
20538,男性,世田谷区,なし,5200000,2001-02-01
20539,男性,杉並区,なし,4900000,1980-03-14
20540,女性,目黒区,なし,6000000,1977-11-09
20541,女性,杉並区,あり,3600000,1999-05-11
20542,男性,品川区,あり,7800000,1974-01-15
20543,男性,品川区,なし,6400000,1974-08-01
20544,女性,世田谷区,なし,5500000,1985-12-08
20545,男性,杉並区,あり,4300000,1965-09-11
20546,男性,杉並区,なし,7900000,1976-01-28
20547,男性,世田谷区,なし,8300000,1970-11-26
20548,女性,世田谷区,あり,5400000,1970-12-06
20549,男性,目黒区,なし,5400000,1976-05-25
20550,男性,品川区,あり,3900000,1988-08-24
20551,女性,杉並区,あり,4000000,1977-12-22
20552,女性,目黒区,なし,4000000,1977-05-02
20553,男性,世田谷区,なし,4700000,1984-01-26
20554,女性,杉並区,なし,4200000,1994-12-26
20555,女性,目黒区,なし,3200000,1978-06-05
20556,女性,目黒区,なし,7600000,1971-08-06
20557,女性,杉並区,あり,7400000,1977-12-25
20558,女性,品川区,なし,6600000,1998-12-07
